floodable_forests,biomass,sur_cover,quarter_biomass,quarter,ecoreg_biomass,dist,nearest_mature,cec,clay,cfvo,nitro,ocd,ocs,phh2o,sand,soc,mean_soil,mean_vpd,mean_temp,mean_def,mean_srad,mean_pr,mean_pdsi,mean_aet,num_fires,ecoreg,biome,indig,protec,topography,age,sd
0,81.0,0.034207526594400406,296.0,3.0,293.0,25845.0,228.8571428571428,12625.1669921875,24.549999237060547,2.6666667461395264,15349.2666015625,20.0,3.5999999046325684,5.0,45.21666717529297,17608.666015625,2252.2571428571428,0.7335237860679626,24.84988021850586,167.68571428571428,1425.45263671875,1817.17138671875,0.20673809945583344,965.3142857142857,0,476,1,0,0,21,6,32
0,169.0,0.2713797092437744,296.0,3.0,293.0,21437.0,221.44897959183666,11252.8330078125,22.25,4.233333110809326,15406.1162109375,18.78333282470703,4.300000190734863,4.650000095367432,58.349998474121094,13745.3330078125,2315.4285714285716,0.732452392578125,24.916309356689453,169.28571428571428,1425.4117431640625,1853.82861328125,0.1601666659116745,962.1428571428571,0,476,1,0,0,41,2,69
0,111.0,0.015963511541485786,296.0,3.0,293.0,17537.0,223.04081632653052,13269.5,21.133333206176758,4.133333206176758,15690.1337890625,19.96666717529297,4.300000190734863,4.900000095367432,57.33333206176758,16128.1669921875,2403.114285714286,0.7250476479530334,24.846548080444336,165.9142857142857,1432.6866455078125,1903.4285888671875,0.07773809134960175,965.8857142857142,1,476,1,0,0,41,5,41
0,84.0,0.0034207524731755257,296.0,3.0,293.0,9044.0,214.28571428571408,14487.5,21.450000762939453,5.099999904632568,16977.916015625,20.700000762939453,4.400000095367432,4.900000095367432,52.29999923706055,16930.0,2412.1428571428573,0.7287856936454773,24.717023849487305,168.31428571428572,1437.3885498046875,1912.2857666015625,0.02654760703444481,967.0857142857143,0,476,1,0,0,21,33,35
0,139.4732104573099,0.03534777835011482,296.0,3.0,293.0,13258.0,211.20408163265282,11884.1669921875,26.16666603088379,6.150000095367432,17309.8828125,20.700000762939453,4.800000190734863,4.800000190734863,51.599998474121094,18931.833984375,2459.457142857143,0.7215714454650879,24.592262268066406,168.8,1438.2037353515625,1939.7427978515625,-0.04064285755157471,964.4571428571429,0,476,1,0,0,11,20,53
0,93.0,0.009122006595134735,296.0,3.0,293.0,26699.0,218.10204081632628,13400.0,20.866666793823242,3.316666603088379,15843.1337890625,20.25,3.799999952316284,4.800000190734863,57.983333587646484,16113.6669921875,2597.2,0.7205952405929565,24.694286346435547,165.22857142857143,1445.279296875,2012.3714599609375,-0.13271428644657135,969.0571428571428,0,476,1,0,0,21,12,37
1,171.0,0.10034207254648209,296.0,3.0,293.0,29097.0,221.89795918367318,13634.8330078125,24.53333282470703,4.516666889190674,14378.75,20.566667556762695,3.9000000953674316,4.699999809265137,51.5,15737.8330078125,2714.6285714285714,0.7383333444595337,24.87821388244629,171.2,1450.8731689453125,2012.3428955078125,-0.16740475594997406,973.1142857142858,0,476,1,0,0,34,14,66
0,96.0,0.06613454967737198,296.0,3.0,293.0,29391.0,226.57142857142827,13868.0,25.83333396911621,4.116666793823242,17437.18359375,20.58333396911621,4.0,4.699999809265137,46.983333587646484,16811.0,2776.4857142857145,0.7334285974502563,24.781309127807617,171.28571428571428,1450.564453125,2012.7427978515625,-0.19280953705310822,971.2285714285714,2,476,1,0,0,31,31,44
0,173.0,0.03306727483868599,296.0,3.0,293.0,30505.0,231.2040816326528,13267.5,24.5,5.761110782623291,14713.02734375,20.266666412353516,4.199999809265137,4.916666507720947,51.5444450378418,18968.166015625,2855.4285714280954,0.728936493396759,24.652023315429688,172.49523809523527,1448.915283203125,2008.2857666015625,-0.2479761838912964,968.1619047619185,1,476,1,0,0,21,10,79
0,189.0,0.5598631501197815,296.0,3.0,293.0,25955.0,233.95918367346917,11696.8330078125,26.649999618530273,8.449999809265137,16095.18359375,22.933332443237305,4.300000190734863,4.800000190734863,49.53333282470703,21628.333984375,3157.542857142857,0.7068809270858765,24.157262802124023,172.37142857142857,1444.818603515625,1992.5142822265625,-0.3482142686843872,957.3428571428572,0,476,1,0,0,21,10,83
