floodable_forests,biomass,sur_cover,dist,nearest_mature,cec,clay,cfvo,nitro,ocd,ocs,phh2o,sand,soc,mean_soil,mean_vpd,mean_temp,mean_def,mean_srad,mean_pr,mean_pdsi,mean_aet,num_fires,ecoreg,biome,indig,protec,topography,age,sd
0,262.0,0.6316989660263062,1114.0,300.7959183673467,18233.333984375,28.58333396911621,1.8666666746139526,17800.5,23.933332443237305,4.900000095367432,4.050000190734863,30.816667556762695,21649.666015625,2779.3714285714286,0.6484761834144592,26.192975997924805,95.4,1352.489013671875,2353.628662109375,0.11311905831098557,970.8285714285714,2,497,1,1,0,31,14,129
1,277.0,0.36716076731681824,1259.0,300.65306122448953,16368.6669921875,23.78333282470703,0.800000011920929,17300.583984375,23.700000762939453,4.599999904632568,4.083333492279053,32.233333587646484,21320.666015625,2777.8285714285716,0.6496666669845581,26.2259521484375,94.94285714285714,1352.544921875,2381.971435546875,0.07185716181993484,972.2,1,496,1,0,1,42,26,121
1,327.8962750184519,0.5929304361343384,1073.0,299.2040816326569,18716.5546875,27.238889694213867,0.699999988079071,21854.466796875,26.183332443237305,5.366666793823242,4.083333492279053,29.9777774810791,29454.111328125,2788.542857142857,0.6514285802841187,26.244524002075195,96.34285714285714,1354.3175048828125,2391.6572265625,0.03040475957095623,972.3142857142857,0,496,1,0,1,42,14,161
0,223.0,0.8038768768310547,1292.0,299.14285714285694,16974.5,25.08333396911621,1.7666666507720947,19641.8828125,23.016666412353516,4.800000190734863,3.9833333492279053,35.016666412353516,22639.333984375,2815.7428571428572,0.6575714349746704,26.280000686645508,101.85714285714286,1355.3360595703125,2389.428466796875,0.030785733833909035,969.0857142857143,0,496,1,0,1,21,18,109
0,334.0,0.879133403301239,1346.0,299.4489795918365,19444.0,28.733333587646484,1.5833333730697632,19650.083984375,24.71666717529297,5.800000190734863,4.199999809265137,32.36666488647461,27441.666015625,2827.457142857143,0.6679999828338623,26.390832901000977,99.0,1349.304931640625,2421.800048828125,-0.10288096964359283,971.0857142857143,1,496,1,0,1,31,20,127
1,319.0,0.202964648604393,2144.0,298.85714285714266,25639.666015625,23.066667556762695,1.2999999523162842,17170.43359375,23.350000381469727,5.0,4.083333492279053,33.31666564941406,26093.0,2852.657142857143,0.6734523773193359,26.426904678344727,102.11428571428571,1361.0357666015625,2413.971435546875,-0.16169050335884094,976.9714285714285,2,496,1,0,1,41,13,114
0,155.0,0.2291904240846634,6735.0,296.1632653061223,,,,,,,,,,2837.114285714286,0.6747857332229614,26.504642486572266,100.6,1360.568603515625,2445.085693359375,-0.24219046533107758,979.2571428571429,0,496,1,0,1,31,22,55
0,376.0,0.36259976029396057,5718.0,296.1632653061223,16426.166015625,27.883333206176758,3.2666666507720947,18313.44921875,24.983333587646484,7.900000095367432,4.183333396911621,33.63333511352539,61651.33203125,2851.7428571428572,0.677142858505249,26.531667709350586,100.6,1356.0867919921875,2454.39990234375,-0.2709999978542328,977.1714285714286,0,496,1,0,1,21,24,150
1,270.0,0.22690992057323456,8515.0,292.3877551020407,,,,,,,,,46380.66796875,2859.5142857142855,0.6840000152587891,26.56488037109375,102.22857142857143,1359.93505859375,2452.71435546875,-0.2980000078678131,979.4571428571429,0,496,1,0,0,21,19,96
1,305.0,0.0,2750.0,272.28571428571405,19323.333984375,25.5,1.3666666746139526,19971.93359375,23.850000381469727,5.900000095367432,4.183333396911621,30.933332443237305,31924.333984375,2914.5714285714284,0.6848095059394836,26.59702491760254,101.45714285714286,1363.1268310546875,2449.199951171875,-0.3632619082927704,982.8571428571429,0,496,1,0,1,34,11,141
1,279.0,0.0,1869.0,272.28571428571405,16053.8330078125,26.83333396911621,0.6000000238418579,18111.44921875,23.600000381469727,5.5,4.2833333015441895,32.16666793823242,26404.5,2920.057142857143,0.684238076210022,26.570714950561523,100.51428571428572,1364.763671875,2458.142822265625,-0.385357141494751,984.5714285714286,0,496,1,0,1,41,10,127
0,223.0,0.6134549379348755,1148.0,251.32653061224468,,,,,,,,,24091.5,2954.2571428571428,0.6825000047683716,26.539642333984375,100.05714285714286,1369.510009765625,2453.54296875,-0.4342857301235199,987.3714285714286,0,496,1,0,0,21,19,92
1,209.0,0.03192702308297157,2202.0,245.9591836734692,16804.0,28.28333282470703,0.7222222089767456,18423.521484375,25.705554962158203,5.5,4.183333396911621,27.816667556762695,24567.72265625,2960.5142857142855,0.687166690826416,26.617023468017578,99.82857142857142,1372.6357421875,2451.6572265625,-0.4513095021247864,990.5714285714286,0,496,1,0,0,42,6,96
1,225.08297852037748,0.08551881462335587,2207.0,243.83673469387736,18035.0,24.08333396911621,0.8833333253860474,19515.416015625,23.883333206176758,5.5,4.133333206176758,27.66666603088379,34318.66796875,2958.7428571428572,0.684238076210022,26.577619552612305,96.57142857142857,1369.360107421875,2470.142822265625,-0.45659521222114563,990.8571428571429,0,496,1,0,0,41,8,103
0,83.0,0.5074116587638855,1406.0,237.85714285714272,17395.0,25.433332443237305,1.6833332777023315,17218.8828125,23.899999618530273,5.199999809265137,4.183333396911621,30.700000762939453,22478.0,2976.542857142857,0.6753333210945129,26.486785888671875,98.02857142857142,1373.097900390625,2441.6572265625,-0.5091666579246521,989.0285714285715,0,497,1,1,0,34,33,38
1,205.0,0.3717217743396759,1518.0,244.71428571428555,20491.833984375,23.21666717529297,2.25,20546.43359375,25.116666793823242,5.5,4.0,30.866666793823242,23891.333984375,2986.0,0.6754047870635986,26.486547470092773,103.6,1377.796142578125,2393.1142578125,-0.5790237784385681,985.8571428571429,0,497,1,0,0,42,32,93
