"age","num_fires","biomass","protec","indig","nearest_mature_biomass","lulc_sum_30","distance","cwd","sur_cover","nitro","sand","phh2o","mean_pr","mean_srad","mean_temp","mean_vpd","mean_soil","mean_aet","amazon_quarter_regions","ecoreg_469","ecoreg_473","ecoreg_474","ecoreg_476","ecoreg_480","ecoreg_481","ecoreg_482","ecoreg_496","ecoreg_497","ecoreg_505","ecoreg_507","ecoreg_508","ecoreg_511","ecoreg_518","ecoreg_529","ecoreg_540","ecoreg_567","ecoreg_570","topography_21","topography_24","topography_31","topography_34","topography_41","topography_42","pred","pred_nolag"
13,5,72,0,0,234,0,2192,-338,0.28388017,4377,1443,152,1944.6,2125.2,25.171429,7.88571428571429,2608,83.7142857142857,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,28.156893738753,75.3873312749663
10,8,46.5,0,0,233,0,5917,-324,0.05192582,5649,1201,148,1921.14285714286,2146.74285714286,25.485714,8.02857142857143,2486.74285714286,84.4571428571429,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.4400339803695,41.2795185123783
3,1,31.5,0,0,231,0,1922,-453,0.4767475,5272,1400,138,2139.02857142857,2206.94285714286,26.12857,7.45714285714286,3007.94285714286,90.4285714285714,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7.52713028866989,68.85698614961
1,9,22.5,0,0,235,0,6411,-436,0.1825963,3915,1780,156,1727.62857142857,2213.2,24.014286,8.82857142857143,2712.42857142857,81.2857142857143,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.06013725231038,30.9394933147251
3,6,34.5,0,0,235,0,2907,-433,0.21997146,3915,1780,156,1705.65714285714,2223.57142857143,23.985714,8.85714285714286,2273.6,79.9428571428571,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.28337959731549,42.6175990952806
3,8,21,0,0,235,0,1611,-438,0.5680457,4618,1728,140,1721.17142857143,2224.05714285714,24.171429,8.91428571428571,3454.82857142857,82.6857142857143,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.28184602802475,42.5014961364734
14,1,30.5,0,0,238,0,3215,-354,0.04165478,5544,1542,140,2006.71428571429,2074.85714285714,25.4,9.91428571428572,2891.17142857143,83.6857142857143,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.7792110759433,71.6191021423604
2,5,35,0,0,236,0,4708,-440,0.45335236,3915,1780,156,1743.37142857143,2225.6,24.057142,8.8,3512.2,82.5714285714286,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.50334911701744,37.0232946476787
3,7,54,0,0,235,0,3840,-433,0.35092723,3915,1780,156,1705.65714285714,2223.57142857143,23.985714,8.85714285714286,2273.6,79.9428571428571,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.04772378184319,41.4897223276199
8,0,107.5,0,0,240,0,1213,-460,0.21911556,4023,1909,156,1468.28571428571,2108.22857142857,24.957144,9.42857142857143,2023.25714285714,88.0571428571429,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,17.2538150553479,64.4432918905455
